Sex,Age,Current users of ad blockers,Past users of ad blockers,kab_1,kab_2,kab_3,kab_4,aoa_1,aoa_2,aoa_3,aoa_4,poa_1,poa_2,poa_3,poa_4,coa_1,coa_2,coa_3,coa_4,eoa_1,eoa_2,eoa_3,eoa_4,ioa_1,ioa_2,ioa_3,ioa_4,oac_1,oac_2,oac_3,oac_4
female,37,1,0,1,1,2,1,0,0,0,-1,-3,-3,-3,-3,-1,-1,-1,-1,0,-3,1,3,-2,-2,-2,-2,2,1,1,1
male,43,1,0,3,3,2,0,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1,-2,-2,-2,-3,-2,2,3,3,2,3,3,3,3,3
female,41,0,0,-3,-3,3,0,-3,-3,-3,-3,-2,-2,-3,-3,0,0,-3,-3,1,0,0,1,3,3,3,3,3,3,3,3
male,41,0,0,-3,0,1,0,-1,-3,-2,-3,-3,-3,-3,-3,-1,-3,-1,-3,-3,-3,0,2,3,3,-1,3,3,3,2,3
male,39,1,0,2,2,2,2,0,0,0,-1,-1,-2,-3,0,-2,-2,-2,-2,-1,-2,0,2,1,0,0,1,3,3,2,3
female,60,0,0,-1,-1,2,0,1,1,1,0,-2,-2,-2,-2,-1,-2,-2,-2,0,0,0,2,1,1,-1,1,3,1,3,3
male,65,0,0,-2,-2,-2,-3,-2,-2,-2,-3,0,-2,-3,-2,-2,-2,-3,-2,0,-2,-2,1,2,2,2,2,2,2,3,2
male,51,0,0,-2,-2,0,0,-1,-2,-3,-3,-3,-2,-2,-3,-1,-1,-1,-2,0,0,1,2,0,2,1,2,3,3,3,3
male,51,0,0,-3,-3,0,-3,-2,2,0,-2,-2,-3,-3,-3,-2,-3,-3,-3,2,1,0,2,2,1,2,2,2,2,3,2
male,63,0,1,-2,-3,-2,2,-3,2,-3,-3,-3,3,-3,-3,2,-2,-2,-2,-3,-3,-3,-2,2,1,3,3,3,3,3,3
female,26,0,0,-2,-1,1,-1,-1,-1,-1,-1,-2,-1,-2,-3,1,-1,-1,-1,1,-1,1,2,2,2,2,2,2,2,2,1
male,61,0,0,-2,-2,-2,1,1,0,0,-2,-2,0,-2,-1,2,0,0,-2,-2,-2,2,3,2,1,2,1,2,2,2,2
female,23,0,0,0,0,3,3,-1,0,-1,-1,-3,-3,-3,-3,-1,-2,0,0,1,-3,-2,2,3,1,0,2,3,2,3,3
female,59,0,0,-3,-2,2,-2,-3,-3,-3,-3,-3,-3,-3,-3,2,0,-2,-2,0,-3,-3,0,3,3,3,3,3,2,3,3
female,51,0,0,2,2,3,3,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,2,2,3,3,3,3,2,2,2,2
female,44,1,0,3,3,3,1,1,-1,-1,-3,-3,-3,0,-3,-1,-3,-3,-2,1,0,-2,2,2,2,-2,3,3,3,3,3
female,56,1,0,3,3,0,0,-2,-1,-2,-3,-3,-3,-3,-2,-1,0,-1,-3,-2,-2,-2,1,3,3,2,3,3,2,3,3
male,41,1,0,3,2,3,0,1,-1,-1,2,-2,-2,-2,-3,1,0,0,-1,0,-2,0,1,2,2,2,2,2,2,2,2
male,55,0,0,1,2,0,1,1,2,1,0,-1,0,-1,-1,1,1,1,1,3,3,3,3,1,1,1,1,2,2,1,2
female,61,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,2,3,3,3,3,3,3,3,3
male,46,0,0,-2,-2,-2,-2,0,0,0,0,0,-3,-2,-2,0,0,0,0,-3,-3,-3,0,2,2,1,1,2,2,2,2
female,40,0,0,-3,-3,-2,-3,0,0,0,0,-2,-2,-2,-2,-1,-2,-2,-2,0,-1,1,2,2,2,2,2,2,2,2,2
male,24,1,0,3,2,3,2,-3,-2,0,2,-3,-2,-3,-2,2,-1,-1,-3,-1,-3,0,1,3,1,2,3,3,1,2,3
male,44,0,1,2,3,3,3,0,0,0,0,-2,0,-2,-2,0,1,0,0,0,0,-1,1,3,3,3,3,3,3,3,3
male,19,1,0,3,3,3,3,-1,0,-1,-1,-3,-2,-3,-3,-1,-2,-2,1,-2,-2,1,1,2,2,-1,3,3,3,3,3
